ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13171-1,June,40x40/100x70,1500,8.7,1804.44,10.5,na,,1642.935378,1678.56802,,0,0,40,40,100,70
13171-1,June,40x40/100x70,1500,8.7,1804.44,10.5,14.32244907,TOTAL,1642.935378,1678.56802,1546.0,37,1631,40,40,100,70
13176-2,June,40x40/110x70,6706,7.0,2788.68,10.0,73.35657013,525,7210.752688,7326.213818,743.0,0,0,40,40,110,70
13176-2,June,40x40/110x70,6706,7.0,2203.604,10.0,87.7019646,43,7210.752688,7326.213818,271.0,0,0,40,40,110,70
13176-2,June,40x40/110x70,6706,7.0,3062.08,10.0,85.85928519,247,7210.752688,7326.213818,433.0,0,0,40,40,110,70
13176-2,June,40x40/110x70,6706,7.0,8054.364,10.0,82.03458398,TOTAL,7210.752688,7326.213818,1447.0,26,561,40,40,110,70
13178-1,June,40x40/120x80,5588,7.0,2296.56,12.5,17.87717281,1812,6008.602151,6279.237277,1886.0,0,0,40,40,120,80
13178-1,June,40x40/120x80,5588,7.0,2351.24,12.5,18.17083752,1756,6008.602151,6279.237277,1924.0,0,0,40,40,120,80
13178-1,June,40x40/120x80,5588,7.0,2296.56,12.5,16.6144146,1792,6008.602151,6279.237277,1915.0,0,0,40,40,120,80
13178-1,June,40x40/120x80,5588,7.0,6944.36,12.5,17.55899752,TOTAL,6008.602151,6279.237277,5725.0,69,5056,40,40,120,80
13178-2,June,40x40/120x80,2956,7.0,3652.624,12.5,74.40196418,776,3178.494624,3321.658087,935.0,0,0,40,40,120,80
13178-2,June,40x40/120x80,2956,7.0,3652.624,12.5,na,,3178.494624,3321.658087,,0,0,40,40,120,80
